id_venta,fecha,cliente,producto,cantidad,importe,medio_pago
V-20093,2026-05-09,Panaderia Ortiz,Cuaderno,14,12841.93,transferencia
V-20094,2026-05-10,Optica Vision,Mouse inalambrico,15,12978.94,tarjeta
V-20095,2026-05-11,Tech Solutions,Servicio de consultoria,16,13115.95,efectivo
V-20096,2026-05-12,Farmacia Central,Toner HP,17,13252.96,transferencia
V-20097,2026-05-13,Hotel Plaza,Servicio mensual,18,13389.97,tarjeta
V-20098,2026-05-14,Comercial Andrade,Cuaderno,19,13526.98,efectivo
V-20099,2026-05-15,Garcia SA,Mouse inalambrico,20,13663.99,transferencia
V-20100,2026-05-16,Juan Perez,Servicio de consultoria,1,13800.00,tarjeta
V-20101,2026-05-17,Marta Gomez,Toner HP,2,13937.01,efectivo
V-20102,2026-05-18,Kiosco El Sol,Servicio mensual,3,14074.02,transferencia
V-20103,2026-05-19,Ferreteria Nuñez,Cuaderno,4,14211.03,tarjeta
V-20104,2026-05-20,Estudio Contable RyR,Mouse inalambrico,5,14348.04,efectivo
V-20105,2026-05-21,Bar La Esquina,Servicio de consultoria,6,14485.05,transferencia
V-20106,2026-05-22,Distribuidora Sur,Toner HP,7,14622.06,tarjeta
V-20107,2026-05-23,Panaderia Ortiz,Servicio mensual,8,14759.07,efectivo
V-20108,2026-05-24,Optica Vision,Cuaderno,9,14896.08,transferencia
V-20109,2026-05-25,Tech Solutions,Mouse inalambrico,10,15033.09,tarjeta
V-20110,2026-05-26,Farmacia Central,Servicio de consultoria,11,15170.10,efectivo
V-20111,2026-05-27,Hotel Plaza,Toner HP,12,15307.11,transferencia
V-20112,2026-05-28,Comercial Andrade,Servicio mensual,13,15444.12,tarjeta
V-20113,2026-05-01,Garcia SA,Cuaderno,14,15581.13,efectivo
V-20114,2026-05-02,Juan Perez,Mouse inalambrico,15,15718.14,transferencia
V-20115,2026-05-03,Marta Gomez,Servicio de consultoria,16,15855.15,tarjeta
V-20116,2026-05-04,Kiosco El Sol,Toner HP,17,15992.16,efectivo
V-20117,2026-05-05,Ferreteria Nuñez,Servicio mensual,18,16129.17,transferencia
V-20118,2026-05-06,Estudio Contable RyR,Cuaderno,19,16266.18,tarjeta
V-20119,2026-05-07,Bar La Esquina,Mouse inalambrico,20,16403.19,efectivo
V-20120,2026-05-08,Distribuidora Sur,Servicio de consultoria,1,16540.20,transferencia
V-20121,2026-05-09,Panaderia Ortiz,Toner HP,2,16677.21,tarjeta
V-20122,2026-05-10,Optica Vision,Servicio mensual,3,16814.22,efectivo
V-20123,2026-05-11,Tech Solutions,Cuaderno,4,16951.23,transferencia
V-20124,2026-05-12,Farmacia Central,Mouse inalambrico,5,17088.24,tarjeta
V-20125,2026-05-13,Hotel Plaza,Servicio de consultoria,6,17225.25,efectivo
V-20126,2026-05-14,Comercial Andrade,Toner HP,7,17362.26,transferencia
V-20127,2026-05-15,Garcia SA,Servicio mensual,8,17499.27,tarjeta
V-20128,2026-05-16,Juan Perez,Cuaderno,9,17636.28,efectivo
V-20129,2026-05-17,Marta Gomez,Mouse inalambrico,10,17773.29,transferencia
V-20130,2026-05-18,Kiosco El Sol,Servicio de consultoria,11,17910.30,tarjeta
V-20131,2026-05-19,Ferreteria Nuñez,Toner HP,12,18047.31,efectivo
V-20132,2026-05-20,Estudio Contable RyR,Servicio mensual,13,18184.32,transferencia
V-20133,2026-05-21,Bar La Esquina,Cuaderno,14,18321.33,tarjeta
V-20134,2026-05-22,Distribuidora Sur,Mouse inalambrico,15,18458.34,efectivo
V-20135,2026-05-23,Panaderia Ortiz,Servicio de consultoria,16,18595.35,transferencia
V-20136,2026-05-24,Optica Vision,Toner HP,17,18732.36,tarjeta
V-20137,2026-05-25,Tech Solutions,Servicio mensual,18,18869.37,efectivo
V-20138,2026-05-26,Farmacia Central,Cuaderno,19,19006.38,transferencia
V-20139,2026-05-27,Hotel Plaza,Mouse inalambrico,20,19143.39,tarjeta
V-20140,2026-05-28,Comercial Andrade,Servicio de consultoria,1,19280.40,efectivo
V-20141,2026-05-01,Garcia SA,Toner HP,2,19417.41,transferencia
V-20142,2026-05-02,Juan Perez,Servicio mensual,3,19554.42,tarjeta
V-20143,2026-05-03,Marta Gomez,Cuaderno,4,19691.43,efectivo
V-20144,2026-05-04,Kiosco El Sol,Mouse inalambrico,5,19828.44,transferencia
V-20145,2026-05-05,Ferreteria Nuñez,Servicio de consultoria,6,19965.45,tarjeta
V-20146,2026-05-06,Estudio Contable RyR,Toner HP,7,20102.46,efectivo
V-20147,2026-05-07,Bar La Esquina,Servicio mensual,8,20239.47,transferencia
V-20148,2026-05-08,Distribuidora Sur,Cuaderno,9,20376.48,tarjeta
V-20149,2026-05-09,Panaderia Ortiz,Mouse inalambrico,10,20513.49,efectivo
V-20150,2026-05-10,Optica Vision,Servicio de consultoria,11,20650.50,transferencia
V-20151,2026-05-11,Tech Solutions,Toner HP,12,20787.51,tarjeta
V-20152,2026-05-12,Farmacia Central,Servicio mensual,13,20924.52,efectivo
V-20153,2026-05-13,Hotel Plaza,Cuaderno,14,21061.53,transferencia
V-20154,2026-05-14,Comercial Andrade,Mouse inalambrico,15,21198.54,tarjeta
V-20155,2026-05-15,Garcia SA,Servicio de consultoria,16,21335.55,efectivo
V-20156,2026-05-16,Juan Perez,Toner HP,17,21472.56,transferencia
V-20157,2026-05-17,Marta Gomez,Servicio mensual,18,21609.57,tarjeta
V-20158,2026-05-18,Kiosco El Sol,Cuaderno,19,21746.58,efectivo
V-20159,2026-05-19,Ferreteria Nuñez,Mouse inalambrico,20,21883.59,transferencia
V-20160,2026-05-20,Estudio Contable RyR,Servicio de consultoria,1,22020.60,tarjeta
V-20161,2026-05-21,Bar La Esquina,Toner HP,2,22157.61,efectivo
V-20162,2026-05-22,Distribuidora Sur,Servicio mensual,3,22294.62,transferencia
V-20163,2026-05-23,Panaderia Ortiz,Cuaderno,4,22431.63,tarjeta
V-20164,2026-05-24,Optica Vision,Mouse inalambrico,5,22568.64,efectivo
V-20165,2026-05-25,Tech Solutions,Servicio de consultoria,6,22705.65,transferencia
V-20166,2026-05-26,Farmacia Central,Toner HP,7,22842.66,tarjeta
V-20167,2026-05-27,Hotel Plaza,Servicio mensual,8,22979.67,efectivo
V-20168,2026-05-28,Comercial Andrade,Cuaderno,9,23116.68,transferencia
V-20169,2026-05-01,Garcia SA,Mouse inalambrico,10,23253.69,tarjeta
V-20170,2026-05-02,Juan Perez,Servicio de consultoria,11,23390.70,efectivo
V-20171,2026-05-03,Marta Gomez,Toner HP,12,23527.71,transferencia
V-20172,2026-05-04,Kiosco El Sol,Servicio mensual,13,23664.72,tarjeta
V-20173,2026-05-05,Ferreteria Nuñez,Cuaderno,14,23801.73,efectivo
V-20174,2026-05-06,Estudio Contable RyR,Mouse inalambrico,15,23938.74,transferencia
V-20175,2026-05-07,Bar La Esquina,Servicio de consultoria,16,24075.75,tarjeta
V-20176,2026-05-08,Distribuidora Sur,Toner HP,17,24212.76,efectivo
V-20177,2026-05-09,Panaderia Ortiz,Servicio mensual,18,24349.77,transferencia
V-20178,2026-05-10,Optica Vision,Cuaderno,19,24486.78,tarjeta
V-20179,2026-05-11,Tech Solutions,Mouse inalambrico,20,24623.79,efectivo
V-20180,2026-05-12,Farmacia Central,Servicio de consultoria,1,24760.80,transferencia
V-20181,2026-05-13,Hotel Plaza,Toner HP,2,24897.81,tarjeta
V-20182,2026-05-14,Comercial Andrade,Servicio mensual,3,25034.82,efectivo
V-20183,2026-05-15,Garcia SA,Cuaderno,4,25171.83,transferencia
V-20184,2026-05-16,Juan Perez,Mouse inalambrico,5,25308.84,tarjeta
V-20185,2026-05-17,Marta Gomez,Servicio de consultoria,6,25445.85,efectivo
V-20186,2026-05-18,Kiosco El Sol,Toner HP,7,25582.86,transferencia
V-20187,2026-05-19,Ferreteria Nuñez,Servicio mensual,8,25719.87,tarjeta
V-20188,2026-05-20,Estudio Contable RyR,Cuaderno,9,25856.88,efectivo
V-20189,2026-05-21,Bar La Esquina,Mouse inalambrico,10,25993.89,transferencia
V-20190,2026-05-22,Distribuidora Sur,Servicio de consultoria,11,26130.90,tarjeta
V-20191,2026-05-23,Panaderia Ortiz,Toner HP,12,26267.91,efectivo
V-20192,2026-05-24,Optica Vision,Servicio mensual,13,26404.92,transferencia
V-20193,2026-05-25,Tech Solutions,Cuaderno,14,26541.93,tarjeta
V-20194,2026-05-26,Farmacia Central,Mouse inalambrico,15,26678.94,efectivo
V-20195,2026-05-27,Hotel Plaza,Servicio de consultoria,16,26815.95,transferencia
V-20196,2026-05-28,Comercial Andrade,Toner HP,17,26952.96,tarjeta
V-20197,2026-05-01,Garcia SA,Servicio mensual,18,27089.97,efectivo
V-20198,2026-05-02,Juan Perez,Cuaderno,19,27226.98,transferencia
V-20199,2026-05-03,Marta Gomez,Mouse inalambrico,20,27363.99,tarjeta
V-20200,2026-05-04,Kiosco El Sol,Servicio de consultoria,1,27500.00,efectivo
V-20201,2026-05-05,Ferreteria Nuñez,Toner HP,2,27637.01,transferencia
V-20202,2026-05-06,Estudio Contable RyR,Servicio mensual,3,27774.02,tarjeta
V-20203,2026-05-07,Bar La Esquina,Cuaderno,4,27911.03,efectivo
V-20204,2026-05-08,Distribuidora Sur,Mouse inalambrico,5,28048.04,transferencia
V-20205,2026-05-09,Panaderia Ortiz,Servicio de consultoria,6,28185.05,tarjeta
V-20206,2026-05-10,Optica Vision,Toner HP,7,28322.06,efectivo
V-20207,2026-05-11,Tech Solutions,Servicio mensual,8,28459.07,transferencia
V-20208,2026-05-12,Farmacia Central,Cuaderno,9,28596.08,tarjeta
V-20209,2026-05-13,Hotel Plaza,Mouse inalambrico,10,28733.09,efectivo
V-20210,2026-05-14,Comercial Andrade,Servicio de consultoria,11,28870.10,transferencia
V-20211,2026-05-15,Garcia SA,Toner HP,12,29007.11,tarjeta
V-20212,2026-05-16,Juan Perez,Servicio mensual,13,29144.12,efectivo
V-20213,2026-05-17,Marta Gomez,Cuaderno,14,29281.13,transferencia
V-20214,2026-05-18,Kiosco El Sol,Mouse inalambrico,15,29418.14,tarjeta
V-20215,2026-05-19,Ferreteria Nuñez,Servicio de consultoria,16,29555.15,efectivo
V-20216,2026-05-20,Estudio Contable RyR,Toner HP,17,29692.16,transferencia
V-20217,2026-05-21,Bar La Esquina,Servicio mensual,18,29829.17,tarjeta
V-20218,2026-05-22,Distribuidora Sur,Cuaderno,19,29966.18,efectivo
V-20219,2026-05-23,Panaderia Ortiz,Mouse inalambrico,20,30103.19,transferencia
V-20220,2026-05-24,Optica Vision,Servicio de consultoria,1,30240.20,tarjeta
V-20221,2026-05-25,Tech Solutions,Toner HP,2,30377.21,efectivo
V-20222,2026-05-26,Farmacia Central,Servicio mensual,3,30514.22,transferencia
V-20223,2026-05-27,Hotel Plaza,Cuaderno,4,30651.23,tarjeta
V-20224,2026-05-28,Comercial Andrade,Mouse inalambrico,5,30788.24,efectivo
V-20225,2026-05-01,Garcia SA,Servicio de consultoria,6,30925.25,transferencia
V-20226,2026-05-02,Juan Perez,Toner HP,7,31062.26,tarjeta
V-20227,2026-05-03,Marta Gomez,Servicio mensual,8,31199.27,efectivo
V-20228,2026-05-04,Kiosco El Sol,Cuaderno,9,31336.28,transferencia
V-20229,2026-05-05,Ferreteria Nuñez,Mouse inalambrico,10,31473.29,tarjeta
V-20230,2026-05-06,Estudio Contable RyR,Servicio de consultoria,11,31610.30,efectivo
V-20231,2026-05-07,Bar La Esquina,Toner HP,12,31747.31,transferencia
V-20232,2026-05-08,Distribuidora Sur,Servicio mensual,13,31884.32,tarjeta
V-20233,2026-05-09,Panaderia Ortiz,Cuaderno,14,32021.33,efectivo
V-20234,2026-05-10,Optica Vision,Mouse inalambrico,15,32158.34,transferencia
V-20235,2026-05-11,Tech Solutions,Servicio de consultoria,16,32295.35,tarjeta
V-20236,2026-05-12,Farmacia Central,Toner HP,17,32432.36,efectivo
V-20237,2026-05-13,Hotel Plaza,Servicio mensual,18,32569.37,transferencia
V-20238,2026-05-14,Comercial Andrade,Cuaderno,19,32706.38,tarjeta
V-20239,2026-05-15,Garcia SA,Mouse inalambrico,20,32843.39,efectivo
V-20240,2026-05-16,Juan Perez,Servicio de consultoria,1,32980.40,transferencia
V-20241,2026-05-17,Marta Gomez,Toner HP,2,33117.41,tarjeta
V-20242,2026-05-18,Kiosco El Sol,Servicio mensual,3,33254.42,efectivo
V-20243,2026-05-19,Ferreteria Nuñez,Cuaderno,4,33391.43,transferencia
V-20244,2026-05-20,Estudio Contable RyR,Mouse inalambrico,5,33528.44,tarjeta
V-20245,2026-05-21,Bar La Esquina,Servicio de consultoria,6,33665.45,efectivo
V-20246,2026-05-22,Distribuidora Sur,Toner HP,7,33802.46,transferencia
V-20247,2026-05-23,Panaderia Ortiz,Servicio mensual,8,33939.47,tarjeta
V-20248,2026-05-24,Optica Vision,Cuaderno,9,34076.48,efectivo
V-20249,2026-05-25,Tech Solutions,Mouse inalambrico,10,34213.49,transferencia
V-20250,2026-05-26,Farmacia Central,Servicio de consultoria,11,34350.50,tarjeta
V-20251,2026-05-27,Hotel Plaza,Toner HP,12,34487.51,efectivo
V-20252,2026-05-28,Comercial Andrade,Servicio mensual,13,34624.52,transferencia
V-20253,2026-05-01,Garcia SA,Cuaderno,14,34761.53,tarjeta
V-20254,2026-05-02,Juan Perez,Mouse inalambrico,15,34898.54,efectivo
V-20255,2026-05-03,Marta Gomez,Servicio de consultoria,16,35035.55,transferencia
V-20256,2026-05-04,Kiosco El Sol,Toner HP,17,35172.56,tarjeta
V-20257,2026-05-05,Ferreteria Nuñez,Servicio mensual,18,35309.57,efectivo
V-20258,2026-05-06,Estudio Contable RyR,Cuaderno,19,35446.58,transferencia
V-20259,2026-05-07,Bar La Esquina,Mouse inalambrico,20,35583.59,tarjeta
V-20260,2026-05-08,Distribuidora Sur,Servicio de consultoria,1,35720.60,efectivo
V-20261,2026-05-09,Panaderia Ortiz,Toner HP,2,35857.61,transferencia
V-20262,2026-05-10,Optica Vision,Servicio mensual,3,35994.62,tarjeta
V-20263,2026-05-11,Tech Solutions,Cuaderno,4,36131.63,efectivo
V-20264,2026-05-12,Farmacia Central,Mouse inalambrico,5,36268.64,transferencia
V-20265,2026-05-13,Hotel Plaza,Servicio de consultoria,6,36405.65,tarjeta
V-20266,2026-05-14,Comercial Andrade,Toner HP,7,36542.66,efectivo
V-20267,2026-05-15,Garcia SA,Servicio mensual,8,36679.67,transferencia
V-20268,2026-05-16,Juan Perez,Cuaderno,9,36816.68,tarjeta
V-20269,2026-05-17,Marta Gomez,Mouse inalambrico,10,36953.69,efectivo
V-20270,2026-05-18,Kiosco El Sol,Servicio de consultoria,11,37090.70,transferencia
V-20271,2026-05-19,Ferreteria Nuñez,Toner HP,12,37227.71,tarjeta
V-20272,2026-05-20,Estudio Contable RyR,Servicio mensual,13,37364.72,efectivo
V-20273,2026-05-21,Bar La Esquina,Cuaderno,14,37501.73,transferencia
V-20274,2026-05-22,Distribuidora Sur,Mouse inalambrico,15,37638.74,tarjeta
V-20275,2026-05-23,Panaderia Ortiz,Servicio de consultoria,16,37775.75,efectivo
V-20276,2026-05-24,Optica Vision,Toner HP,17,37912.76,transferencia
V-20277,2026-05-25,Tech Solutions,Servicio mensual,18,38049.77,tarjeta
V-20278,2026-05-26,Farmacia Central,Cuaderno,19,38186.78,efectivo
V-20279,2026-05-27,Hotel Plaza,Mouse inalambrico,20,38323.79,transferencia
V-20280,2026-05-28,Comercial Andrade,Servicio de consultoria,1,38460.80,tarjeta
V-20281,2026-05-01,Garcia SA,Toner HP,2,38597.81,efectivo
V-20282,2026-05-02,Juan Perez,Servicio mensual,3,38734.82,transferencia
V-20283,2026-05-03,Marta Gomez,Cuaderno,4,38871.83,tarjeta
V-20284,2026-05-04,Kiosco El Sol,Mouse inalambrico,5,39008.84,efectivo
V-20285,2026-05-05,Ferreteria Nuñez,Servicio de consultoria,6,39145.85,transferencia
V-20286,2026-05-06,Estudio Contable RyR,Toner HP,7,39282.86,tarjeta
V-20287,2026-05-07,Bar La Esquina,Servicio mensual,8,39419.87,efectivo
V-20288,2026-05-08,Distribuidora Sur,Cuaderno,9,39556.88,transferencia
V-20289,2026-05-09,Panaderia Ortiz,Mouse inalambrico,10,39693.89,tarjeta
V-20290,2026-05-10,Optica Vision,Servicio de consultoria,11,39830.90,efectivo
V-20291,2026-05-11,Tech Solutions,Toner HP,12,39967.91,transferencia
V-20292,2026-05-12,Farmacia Central,Servicio mensual,13,40104.92,tarjeta
V-20293,2026-05-13,Hotel Plaza,Cuaderno,14,40241.93,efectivo
V-20294,2026-05-14,Comercial Andrade,Mouse inalambrico,15,40378.94,transferencia
V-20295,2026-05-15,Garcia SA,Servicio de consultoria,16,40515.95,tarjeta
V-20296,2026-05-16,Juan Perez,Toner HP,17,40652.96,efectivo
V-20297,2026-05-17,Marta Gomez,Servicio mensual,18,40789.97,transferencia
V-20298,2026-05-18,Kiosco El Sol,Cuaderno,19,40926.98,tarjeta
V-20299,2026-05-19,Ferreteria Nuñez,Mouse inalambrico,20,41063.99,efectivo
V-20300,2026-05-20,Estudio Contable RyR,Servicio de consultoria,1,41200.00,transferencia
V-20301,2026-05-21,Bar La Esquina,Toner HP,2,41337.01,tarjeta
V-20302,2026-05-22,Distribuidora Sur,Servicio mensual,3,41474.02,efectivo
V-20303,2026-05-23,Panaderia Ortiz,Cuaderno,4,41611.03,transferencia
V-20304,2026-05-24,Optica Vision,Mouse inalambrico,5,41748.04,tarjeta
V-20305,2026-05-25,Tech Solutions,Servicio de consultoria,6,41885.05,efectivo
V-20306,2026-05-26,Farmacia Central,Toner HP,7,42022.06,transferencia
V-20307,2026-05-27,Hotel Plaza,Servicio mensual,8,42159.07,tarjeta
V-20308,2026-05-28,Comercial Andrade,Cuaderno,9,42296.08,efectivo
V-20309,2026-05-01,Garcia SA,Mouse inalambrico,10,42433.09,transferencia
V-20310,2026-05-02,Juan Perez,Servicio de consultoria,11,42570.10,tarjeta
V-20311,2026-05-03,Marta Gomez,Toner HP,12,42707.11,efectivo
V-20312,2026-05-04,Kiosco El Sol,Servicio mensual,13,42844.12,transferencia
V-20313,2026-05-05,Ferreteria Nuñez,Cuaderno,14,42981.13,tarjeta
V-20314,2026-05-06,Estudio Contable RyR,Mouse inalambrico,15,43118.14,efectivo
V-20315,2026-05-07,Bar La Esquina,Servicio de consultoria,16,43255.15,transferencia
V-20316,2026-05-08,Distribuidora Sur,Toner HP,17,43392.16,tarjeta
V-20317,2026-05-09,Panaderia Ortiz,Servicio mensual,18,43529.17,efectivo
V-20318,2026-05-10,Optica Vision,Cuaderno,19,43666.18,transferencia
V-20319,2026-05-11,Tech Solutions,Mouse inalambrico,20,43803.19,tarjeta
V-20320,2026-05-12,Farmacia Central,Servicio de consultoria,1,43940.20,efectivo
V-20321,2026-05-13,Hotel Plaza,Toner HP,2,44077.21,transferencia
V-20322,2026-05-14,Comercial Andrade,Servicio mensual,3,44214.22,tarjeta
V-20323,2026-05-15,Garcia SA,Cuaderno,4,44351.23,efectivo
V-20324,2026-05-16,Juan Perez,Mouse inalambrico,5,44488.24,transferencia
V-20325,2026-05-17,Marta Gomez,Servicio de consultoria,6,44625.25,tarjeta
V-20326,2026-05-18,Kiosco El Sol,Toner HP,7,44762.26,efectivo
V-20327,2026-05-19,Ferreteria Nuñez,Servicio mensual,8,44899.27,transferencia
V-20328,2026-05-20,Estudio Contable RyR,Cuaderno,9,45036.28,tarjeta
V-20329,2026-05-21,Bar La Esquina,Mouse inalambrico,10,45173.29,efectivo
V-20330,2026-05-22,Distribuidora Sur,Servicio de consultoria,11,45310.30,transferencia
V-20331,2026-05-23,Panaderia Ortiz,Toner HP,12,45447.31,tarjeta
V-20332,2026-05-24,Optica Vision,Servicio mensual,13,45584.32,efectivo
V-20333,2026-05-25,Tech Solutions,Cuaderno,14,45721.33,transferencia
V-20334,2026-05-26,Farmacia Central,Mouse inalambrico,15,45858.34,tarjeta
V-20335,2026-05-27,Hotel Plaza,Servicio de consultoria,16,45995.35,efectivo
